repo,file_path,duration_days,event,init_cc,cc_lm,cc_slope,loc_lm,loc_delta,mi_lm,n_authors,lm_days,nesting_lm,comment_ratio_lm,docstring_ratio_lm,max_params_lm,n_except_lm,fan_in_lm,fan_out_lm
celery,celery/monitoring/web.py,1,1,2.0,2.0,0.0,27,2,100.0,1,1,1.0,0.0,0.0,1.0,0.0,0,3
celery,celery/patch.py,58,0,3.0,3.0,0.0,30,0,71.46659558650295,1,1,4.0,0.0,0.2,1.0,0.0,0,3
celery,celery/platform.py,141,0,4.0,4.0,0.0,57,3,84.14663344677177,1,20,2.0,0.0,0.8,2.0,3.0,2,3
celery,celery/pool.py,10,1,7.0,7.0,0.0,178,2,65.15966349976893,2,1,3.0,0.0,0.3125,7.0,3.0,0,7
celery,celery/process.py,17,0,6.0,6.0,0.0,30,2,76.7852583320321,1,1,4.0,0.0,0.25,4.0,0.0,0,2
celery,celery/registry.py,209,0,4.0,4.0,0.0,95,23,75.62696203466241,1,22,2.0,0.0,0.8461538461538461,3.0,0.0,0,2
celery,celery/result.py,19,1,3.0,3.0,0.0,84,20,78.2110722758964,1,1,2.0,0.0,0.7857142857142857,3.0,0.0,0,1
celery,celery/routes.py,1,1,3.0,4.0,1.0,88,20,72.22072750562441,1,1,5.0,0.09375,0.25,6.0,2.0,0,1
celery,celery/schedules.py,5,0,7.0,7.0,0.0,240,14,60.38175094282584,1,76,5.0,0.02631578947368421,0.23809523809523808,5.0,2.0,0,3
celery,celery/serialization.py,265,1,5.0,5.0,0.0,117,1,87.55362290237318,1,20,3.0,0.023255813953488372,0.7142857142857143,4.0,3.0,0,4
celery,celery/supervisor.py,142,0,6.0,6.0,0.0,142,57,74.90280889626446,1,3,5.0,0.0,0.75,9.0,1.0,0,3
celery,celery/task.py,18,1,3.0,4.0,1.0,101,23,51.462791458554804,1,1,2.0,0.013888888888888888,0.15789473684210525,2.0,0.0,0,4
celery,celery/task/__init__.py,377,0,11.0,1.0,-10.0,112,-94,100.0,1,1,1.0,0.0,1.0,3.0,1.0,0,4
celery,celery/task/base.py,51,1,4.0,4.0,0.0,390,1,52.645454628247585,1,2,2.0,0.0035971223021582736,0.75,4.0,2.0,0,6
celery,celery/task/builtins.py,370,0,2.0,2.0,0.0,75,2,100.0,1,2,1.0,0.0,0.8888888888888888,4.0,1.0,0,4
celery,celery/task/control.py,143,1,1.0,2.0,1.0,84,41,82.22885820119083,1,1,2.0,0.0,0.8,5.0,0.0,0,1
